Company Name,Company Website,Email,CityU URL
3D printing low-carbon ecological concrete,No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/3d-printing-low-carbon-ecological-concrete
5th Immersiv,https://brideunionhk.com/,martin@bride-union.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/5th-immersiv
6J Biotechnology (Hong Kong) Limited,http://www.6jbiotech.com/,qzhang@6jbiotech.com,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/6j-biotechnology
A-TCMS (Autonomous Tire Condition Monitoring System),No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a-tcms
A.I. Ambassador (Virtual Receptionist) kiosk solution,https://www.innocorn.com/,info@innocorn.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-ambassador
A3-ml Ltd,No Info Found,director@a3-ml.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a3-ml
ABCDYi,No Info Found,hello@abcdyi.net,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/abcdyi
Accessible Vision,No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accessible-vision
Accucision,No Info Found,accucisionhk@gmail.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accucision
Aeroponics King,No Info Found,aeroponicsking@gmail.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aeroponics-king
AESIR Institute Limited,https://www.aesir.hk/seriousgame.html,aesirhkservice@gmail.com,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aesir
Aestrio,https://www.aestrio.com,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aestrio
AFJ – TutorGPT,No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/afj-tutorgpt
Aflame E-SOC,No Info Found,aflamehk@gmail.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aflame-e-soc
AI Doodle,No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-doodle
AI Guided Limited,No Info Found,No Info Found,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-guided-limited
AI Mnemonic,https://www.aimnemonic.com/,admin@aimnemonic.com,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-mnemonic
AI Motion Logistics Limited,No Info Found,info_aiml@yeah.net,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/ai-motion-logistics-limited
